,SR,District,Township
19393,Chin,Falam,Falam
20654,Chin,Falam,Tedim
20864,Chin,Falam,Tonzang
19620,Chin,Hakha,Hakha
20702,Chin,Hakha,Thantlang
20372,Chin,Matupi,Paletwa
19858,Chin,Matupi,Matupi
19972,Chin,Mindat,Mindat
19752,Chin,Mindat,Kanpetlet
