,SR,District,Township
38112,Nay Pyi Taw,Det Khi Na,Det Khi Na Thi Ri
38734,Nay Pyi Taw,Det Khi Na,Pyinmana
38940,Nay Pyi Taw,Det Khi Na,Za Bu Thi Ri
38435,Nay Pyi Taw,Det Khi Na,Lewe
38878,Nay Pyi Taw,Oke Ta Ra,Tatkon
38997,Nay Pyi Taw,Oke Ta Ra,Zay Yar Thi Ri
38569,Nay Pyi Taw,Oke Ta Ra,Poke Ba Thi Ri
38491,Nay Pyi Taw,Oke Ta Ra,Oke Ta Ra Thi Ri
